Year,Month,DayOfWeek,TotalIncidents
2015,6,Sunday,423
2015,6,Monday,763
2015,6,Tuesday,774
2015,6,Wednesday,510
2015,6,Thursday,588
2015,6,Friday,562
2015,6,Saturday,571
2015,7,Sunday,949
2015,7,Monday,1112
2015,7,Tuesday,1089
2015,7,Wednesday,1385
2015,7,Thursday,1324
2015,7,Friday,1456
2015,7,Saturday,1009
2015,8,Sunday,1152
2015,8,Monday,1413
2015,8,Tuesday,1115
2015,8,Wednesday,1105
2015,8,Thursday,1068
2015,8,Friday,1144
2015,8,Saturday,1345
2015,9,Sunday,1002
2015,9,Monday,1088
2015,9,Tuesday,1441
2015,9,Wednesday,1393
2015,9,Thursday,1146
2015,9,Friday,1194
2015,9,Saturday,1150
2015,10,Sunday,925
2015,10,Monday,987
2015,10,Tuesday,1115
2015,10,Wednesday,1150
2015,10,Thursday,1332
2015,10,Friday,1486
2015,10,Saturday,1313
2015,11,Sunday,1210
2015,11,Monday,1320
2015,11,Tuesday,1042
2015,11,Wednesday,1030
2015,11,Thursday,1015
2015,11,Friday,1134
2015,11,Saturday,1067
2015,12,Sunday,929
2015,12,Monday,1114
2015,12,Tuesday,1339
2015,12,Wednesday,1301
2015,12,Thursday,1326
2015,12,Friday,1050
2015,12,Saturday,932
2016,1,Sunday,1010
2016,1,Monday,937
2016,1,Tuesday,1027
2016,1,Wednesday,1002
2016,1,Thursday,1091
2016,1,Friday,1524
2016,1,Saturday,1244
2016,2,Sunday,871
2016,2,Monday,1280
2016,2,Tuesday,1051
2016,2,Wednesday,1000
2016,2,Thursday,1021
2016,2,Friday,1050
2016,2,Saturday,1035
2016,3,Sunday,1022
2016,3,Monday,1019
2016,3,Tuesday,1360
2016,3,Wednesday,1313
2016,3,Thursday,1338
2016,3,Friday,1064
2016,3,Saturday,1083
2016,4,Sunday,982
2016,4,Monday,1094
2016,4,Tuesday,1047
2016,4,Wednesday,1139
2016,4,Thursday,1056
2016,4,Friday,1463
2016,4,Saturday,1320
2016,5,Sunday,1286
2016,5,Monday,1390
2016,5,Tuesday,1425
2016,5,Wednesday,1106
2016,5,Thursday,1176
2016,5,Friday,1118
2016,5,Saturday,1077
2016,6,Sunday,967
2016,6,Monday,1154
2016,6,Tuesday,1165
2016,6,Wednesday,1513
2016,6,Thursday,1477
2016,6,Friday,1236
2016,6,Saturday,1046
2016,7,Sunday,1264
2016,7,Monday,1142
2016,7,Tuesday,1156
2016,7,Wednesday,1152
2016,7,Thursday,1126
2016,7,Friday,1395
2016,7,Saturday,1384
2016,8,Sunday,1082
2016,8,Monday,1556
2016,8,Tuesday,1496
2016,8,Wednesday,1507
2016,8,Thursday,1128
2016,8,Friday,1096
2016,8,Saturday,1073
2016,9,Sunday,1061
2016,9,Monday,1125
2016,9,Tuesday,1100
2016,9,Wednesday,1122
2016,9,Thursday,1474
2016,9,Friday,1544
2016,9,Saturday,1096
2016,10,Sunday,1217
2016,10,Monday,1416
2016,10,Tuesday,1093
2016,10,Wednesday,1120
2016,10,Thursday,1088
2016,10,Friday,1167
2016,10,Saturday,1482
2016,11,Sunday,927
2016,11,Monday,1040
2016,11,Tuesday,1422
2016,11,Wednesday,1354
2016,11,Thursday,1021
2016,11,Friday,1093
2016,11,Saturday,1065
2016,12,Sunday,892
2016,12,Monday,996
2016,12,Tuesday,1033
2016,12,Wednesday,1051
2016,12,Thursday,1450
2016,12,Friday,1321
2016,12,Saturday,1208
2017,1,Sunday,1159
2017,1,Monday,1275
2017,1,Tuesday,1264
2017,1,Wednesday,1086
2017,1,Thursday,1068
2017,1,Friday,1100
2017,1,Saturday,1041
2017,2,Sunday,903
2017,2,Monday,1012
2017,2,Tuesday,1077
2017,2,Wednesday,1154
2017,2,Thursday,1043
2017,2,Friday,1159
2017,2,Saturday,1060
2017,3,Sunday,886
2017,3,Monday,1145
2017,3,Tuesday,984
2017,3,Wednesday,1335
2017,3,Thursday,1395
2017,3,Friday,1461
2017,3,Saturday,973
2017,4,Sunday,1270
2017,4,Monday,1097
2017,4,Tuesday,1046
2017,4,Wednesday,1087
2017,4,Thursday,1084
2017,4,Friday,1145
2017,4,Saturday,1340
2017,5,Sunday,961
2017,5,Monday,1323
2017,5,Tuesday,1520
2017,5,Wednesday,1464
2017,5,Thursday,1129
2017,5,Friday,1234
2017,5,Saturday,1084
2017,6,Sunday,1100
2017,6,Monday,1175
2017,6,Tuesday,1210
2017,6,Wednesday,1246
2017,6,Thursday,1604
2017,6,Friday,1504
2017,6,Saturday,1146
2017,7,Sunday,1243
2017,7,Monday,1543
2017,7,Tuesday,1180
2017,7,Wednesday,1227
2017,7,Thursday,1169
2017,7,Friday,1183
2017,7,Saturday,1530
2017,8,Sunday,1064
2017,8,Monday,1218
2017,8,Tuesday,1492
2017,8,Wednesday,1512
2017,8,Thursday,1566
2017,8,Friday,1220
2017,8,Saturday,1134
2017,9,Sunday,1062
2017,9,Monday,1114
2017,9,Tuesday,1186
2017,9,Wednesday,1162
2017,9,Thursday,1242
2017,9,Friday,1744
2017,9,Saturday,1430
2017,10,Sunday,1342
2017,10,Monday,1378
2017,10,Tuesday,1436
2017,10,Wednesday,1158
2017,10,Thursday,1195
2017,10,Friday,1209
2017,10,Saturday,1128
2017,11,Sunday,926
2017,11,Monday,1045
2017,11,Tuesday,1127
2017,11,Wednesday,1382
2017,11,Thursday,1270
2017,11,Friday,1150
2017,11,Saturday,1035
2017,12,Sunday,1094
2017,12,Monday,874
2017,12,Tuesday,1024
2017,12,Wednesday,1025
2017,12,Thursday,981
2017,12,Friday,1342
2017,12,Saturday,1195
2018,1,Sunday,875
2018,1,Monday,1299
2018,1,Tuesday,1278
2018,1,Wednesday,1281
2018,1,Thursday,973
2018,1,Friday,1071
2018,1,Saturday,1005
2018,2,Sunday,818
2018,2,Monday,1011
2018,2,Tuesday,1011
2018,2,Wednesday,1029
2018,2,Thursday,1057
2018,2,Friday,1026
2018,2,Saturday,985
2018,3,Sunday,887
2018,3,Monday,989
2018,3,Tuesday,1032
2018,3,Wednesday,1019
2018,3,Thursday,1243
2018,3,Friday,1374
2018,3,Saturday,1224
2018,4,Sunday,1140
2018,4,Monday,1254
2018,4,Tuesday,1061
2018,4,Wednesday,1100
2018,4,Thursday,1128
2018,4,Friday,1117
2018,4,Saturday,1116
2018,5,Sunday,996
2018,5,Monday,1100
2018,5,Tuesday,1471
2018,5,Wednesday,1518
2018,5,Thursday,1470
2018,5,Friday,1251
2018,5,Saturday,1100
2018,6,Sunday,989
2018,6,Monday,1248
2018,6,Tuesday,1204
2018,6,Wednesday,1214
2018,6,Thursday,1229
2018,6,Friday,1543
2018,6,Saturday,1407
2018,7,Sunday,1245
2018,7,Monday,1391
2018,7,Tuesday,1416
2018,7,Wednesday,1125
2018,7,Thursday,1159
2018,7,Friday,1110
2018,7,Saturday,1092
2018,8,Sunday,955
2018,8,Monday,1066
2018,8,Tuesday,1074
2018,8,Wednesday,1352
2018,8,Thursday,1406
2018,8,Friday,1455
2018,8,Saturday,1029
2018,9,Sunday,227
2018,9,Monday,176
2018,9,Saturday,264
